Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile,buildPhase
PDB: Defined 3 documents,14-33-37.2503,14-33-37.2511,000.0009,00-9212f3c7ffe6798535539afb4c601e17-7bf0e28408102fa0-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
PDB: Sorted 126 methods,14-33-37.2512,14-33-37.2645,000.0133,00-9212f3c7ffe6798535539afb4c601e17-680b2a4a02f43c81-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
PDB: Created,14-33-37.2645,14-33-37.2649,000.0003,00-9212f3c7ffe6798535539afb4c601e17-b17fd81310e3db26-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Layout image,14-33-37.2649,14-33-37.2654,000.0004,00-9212f3c7ffe6798535539afb4c601e17-7072db3ecea06450-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Writing Image,14-33-37.2654,14-33-37.2669,000.0015,00-9212f3c7ffe6798535539afb4c601e17-c1c8b5e4f12a38cc-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Finalize PDB,14-33-37.2669,14-33-37.2669,000.0000,00-9212f3c7ffe6798535539afb4c601e17-67b4431cf24dab26-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Signing Image,14-33-37.2669,14-33-37.2670,000.0001,00-9212f3c7ffe6798535539afb4c601e17-bc3f3b4efb3326ea-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Generate PDB Info,14-33-37.2670,14-33-37.2670,000.0000,00-9212f3c7ffe6798535539afb4c601e17-716e305b8cb951d5-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write .NET Binary,14-33-37.1619,14-33-37.2670,000.1051,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
FSC compilation,14-33-36.3763,14-33-37.2676,000.8913,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,,9212f3c7ffe6798535539afb4c601e17,,obj\Debug\netstandard2.0\FsToolkit.ErrorHandling.AsyncSeq.dll,,,,,,,,,,,
